@relation TrainingData

@attribute text string
@attribute class {FAKE, REAL}

@data
"Uncollected Pallet Wondering What It Did Wrong", FAKE
"Poll: Hillary Clinton tops Donald Trump, GOP field on handling terror", REAL
"New Comment Features have been Added", FAKE
"Kylie Jenner Sizzles In These Chip-Pan Accident Pictures", FAKE
"French police hunt two brothers accused of Charlie Hebdo terror attack", REAL
"ObamaCare's future: 11 ways the health care law could be dismantled in 2015", REAL
"Merkel brings shuttle diplomacy to White House", REAL
"Looking for clues to Supreme Court’s final rulings in Ginsburg’s good mood", REAL
"Memo to Comey: Keep Your Damn Hands Off Our Elections", FAKE
"GOP field rips Obama's move toward executive action to tighten gun control laws", REAL
"Inside the Invisible Government: War, Propaganda, Clinton & Trump", FAKE
"The Pope vs. America", REAL
"Supreme Court throws out conviction for violent Facebook postings", REAL
"Meteor, space junk, rocket? Mysterious flash hits Siberia", FAKE
"Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protesters", FAKE
"Insiders: Trump and Clinton will carry Iowa", REAL
"Top Senate Democrat urges Clinton to address private email controversy", REAL
"Comment on Grinnell College warns against ‘deplorable and problematic’ costumes by Joe", FAKE
"For The Small Price Of $2.3 Million, You Could Own This Beautiful, Self-Sufficient Island", FAKE
"Two Reasons Trump Could Actually Win (And Three Reasons Why He Won’t)", REAL
"Dear GOP: Hire me and I’ll give you the debate of your dreams", REAL
"Talk radio rallies around Ted Cruz", REAL
"Re: ‘D*ckileaks’? NY Post unveils tomorrow’s Weiner cover for your pleasure", FAKE
"These Syrian Refugees Just Nailed The Mannequin Challenge!", FAKE
"Hope, Change, Lies and Greatness", FAKE
"The Globalization Of Media: A Failing Strike Force", FAKE
"A Measure of Fascism in America", FAKE
"How climate change is spawning a new view of conservation", REAL
"With Common Core tests, a lot at stake for first-year principal", REAL
"How the Clintons’ Haiti development plans succeed — and disappoint", REAL
"CodeSOD: Just In Case", FAKE
"Chips ‘do not need to be cooked three times’", FAKE
"Comment on Macy’s “dump Trump” backfires as 30,000 irate customers cut up their cards by MeThePeople", FAKE
"Tomb Opened Where ‘Jesus was Resurrected After Crucifixion For The First Time…’", FAKE
"Romney exit widens establishment lane for Bush", REAL
"Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again", REAL
"Russian Navy Moves Guided Missile Ships to Baltic", FAKE
"The detente between Trump and Cruz is definitely over", REAL
"49 killed in shooting at Florida nightclub in possible act of Islamic terror", REAL
"Why Isn’t NSA Surveillance an Election Issue?", FAKE
"Facebook Faces High Profile Lawsuit Regarding Facial Recognition Technology ‘DeepFace’", FAKE
"The Clintons really don’t get it: False attacks and failed strategies as Hillary repeats 2008", REAL
"Obama's long-view foreign policy: why he thinks the US can bend the arc of history", REAL
"Pleading for Paul Ryan", REAL
"Pakistan: Long arm of ISI needs unsheathing", FAKE
"BREAKING: DOJ FINALLY Secures Warrant To Inspect Huma’s Emails | Daily Wire", FAKE
"Why Trump’s warning of ‘rigged election’ isn’t credible", REAL
"Jane Sanders to FBI: Get on with Clinton email probe", REAL
"History class becomes a debate on America", REAL
"The GOP is ungovernable: What happens when one major party is dysfunctional to the core", REAL
"Netanyahu: Iran A Threat to Israel, the World", REAL
"Clinton Campaign STUNNED As FBI Reportedly Reopens Probe Into Hillary Clinton Emails", FAKE
"NYPD Source: Weiner Laptop Has Enough Evidence “to Put Hillary ... Away for Life”", FAKE
"Trump Supporter Jailed for Trying to Rig the Election By Committing Voter Fraud", FAKE
"Levers of Power: Flushing the Vote Down the Memory Hole", FAKE
"Paintings 'almost no one else seemed to be doing'", FAKE
"It isn’t ‘Islamophobia’ when an Oklahoma GOP State Rep. says “Islam is a cancer in our nation that needs to be cut out”", FAKE
"White House counterterrorism adviser Rand Beers to retire", REAL
"If Clinton Campaign Believes WikiLeaks Emails Are Forged, Why Don’t They Prove It!?", FAKE
"Bernie Sanders digs in", REAL
"Election: “Today, a kingdom will be toppled.”", FAKE
"Hillary Admits In Leaked Email That Clinton Donors Are Funding ISIS", FAKE
"Euro-Russian Mars Lander May Have Exploded Due to Software Glitch", FAKE
"Russell Brand’s Back on ‘The Trews’ and He’s Got Quite a Bit to Say About the U.S. Elections (Video)", FAKE
"Britain looking forward to bonfire night because it can’t afford to put the heating on", FAKE
"Guy Fawkes effigy industry collapses", FAKE
"Immigration Standoff May End With Another Congressional Punt", REAL
"Netanyahu warns that nuclear deal ‘paves Iran’s path’ to a bomb", REAL
"Takeaways from the GOP town hall", REAL
"House yanks first spending bill off the floor", REAL
"10 Ways Russia is Preparing For World War 3", FAKE
"Top Black Lives Matter Activist: ‘We Will Incite Riots Everywhere if Trump Wins’", FAKE
"SWEDEN HELP WANTED: Activities Coordinator for bored illegal alien Muslim freeloaders and rapists", FAKE
"Ways To Naturally Raise Your Vibration", FAKE
"Ted Cruz: Democratic Party home to 'liberal fascism' against Christians", REAL
"United States v. Texas, the biggest immigration case in a century, explained", REAL
"Michael Bloomberg Names Technological Unemployment as the Next Administration’s “Greatest Conundrum”", FAKE
"If you think our media is racist, wait till you meet my grandfather, Prince Harry tells Meghan Markle", FAKE
"Hillary’s leftward sprint cheers Dems", REAL
"Here’s Hillary Clinton’s big 2016 challenge, in one chart", REAL
"Police arrest 141 in crackdown on North Dakota pipeline protesters", FAKE
"Tsarnaev Mom: Americans Are ‘Terrorists’", REAL
"Russia And Syria Blamed For Idlib Bombing Hoax", FAKE
"Radio Derb: Peak White Guilt, PC Now To The LEFT Of Marxism, And Voices from the Mencken Club, Etc.", FAKE
"The Daily 202: The presidency is Hillary Clinton’s to lose. Here are 12 ways she could lose it.", REAL
"Why Putin praised Trump (Opinion)", REAL
"Sex workers reject ‘biased’ BBC prostitution documentary", FAKE
"People Power! Natives declare treaty rights, police admit defeat - cite lack of 'manpower' to remove DAPL protesters", FAKE
"Clinton’s 2016 makeover the latest in long line of resets", REAL
"No Pain No Gain? Lockheed Struggles to Finalize Deal With Pentagon on F-35 Lots", FAKE
"Which States Don't Have Mexicans?", FAKE
"Political paralysis is the new normal: The GOP’s Scalia gamble may be suicidal, but it’s not illogical", REAL
"A sharp exchange over election-year polling offers thoughts for the rest of us", REAL
"Shootings In Chattanooga: What We Know About The Alleged Gunman", REAL
"Court ruling on NSA spying splits 2016 field", REAL
"A boss often can fire you while you're hospitalized", REAL
"How To Repair Strained Or Broken Relationships", FAKE
"Saudi Arabia's King Abdullah was incremental reformer, US ally (+video)", REAL
"Concert plus campaign: Clinton turns to celebrities in homestretch", FAKE
"Marco Rubio: Critics of Immigration Bill Were Right", REAL
"CNN Reach New Low, Call Sheriff Clarke A ‘Terrorist’ After Trump Gave Him The Most Important Job! | EndingFed News Network", FAKE
"KRAUTHAMMER: Jeb Bush had a breakout performance in the Fox News debate", REAL
"DOJ Tried Repeatedly To Kill FBI’s Clinton Foundation Investigation", FAKE
"ISLAM NOT WELCOME: Obama just got TERRIBLE NEWS – THIS could END his MUSLIM “REFUGEE” Program… FOREVER!", FAKE
"DISGUSTING Evolution Of Political Correctness From 200 To 2016", FAKE
"21 Things We’ve Learned About Hillary Clinton from Wikileaks That the MSM Won’t Share…But YOU Can!", FAKE
"You Won’t Believe What This Congressman is Planning To Do If Trump Loses (VIDEO)", FAKE
"Verified Report: These Cops Left Standing Rock and Refuse to Return", FAKE
"Trump advisors try to pivot not fishtail", REAL
"State Dept. Admits Official Censored Sensitive Iran Nuclear Deal Video", REAL
"5 takeaways from the New York primary", REAL
"Meet Ted Cruz's top fundraiser: his wife", REAL
"Both parties want to craft populist messages for 2016", REAL
"Refusing to sit on Lead, Trump Gets Bitter in Republican Debate", REAL
"State Department spokeswoman floats jobs as answer to ISIS", REAL
"BREAKING: Donald Trump Says He’s Going to Deport Up To 3 Million Immigrants Immediately", FAKE
"Obama Spends Earth Day In The Everglades, Taunting Republicans On Climate Change", REAL
"Donald Trump revokes Washington Post press access (+video)", REAL
"STATE OF GEORGIA FIRES PASTOR BECAUSE OF HIS FAITH, GOVERNMENT DIDN’T “APPROVE” BIBLICAL SERMONS", FAKE
"Carly Fiorina will appear in top-tier Reagan Library debate", REAL
"Jewish Press Releases Audio Tape Exposing Hillary Clinton Plotting to Rig Election", FAKE
"Comment on Man of Sin: Obama says illegal aliens can vote because they are U.S. citizens by Christian Zionist", FAKE
"Black Agenda Report for Week of Oct 31, 2016", FAKE
"Here is Elon Musk’s True Mars On Earth Plan", FAKE
"BREAKING: U.S. And Russian Jets Almost Collide Over Syria", FAKE
"Kerry: Assad Must Go", REAL
"The Real Reason Behind Saakashvili's Resignation", FAKE
"FCC Passes Sweeping Internet Privacy Rules in ‘Big Win for Civil Rights’", FAKE
"First Iraqi Troops Enter Mosul, But Fighting Remains Largely in Suburbs", FAKE
"New Pew Report: Significant Economic Impact of Illegals' Anchor Babies", FAKE
"Philadelphia To Host 2016 Democratic National Convention", REAL
"The Northern Sea Route: New Prospects for the Pacific Rim | New Eastern Outlook", FAKE
"“We Were Long Overdue A Presidential Assassination Anyway”", FAKE
"Obama: For All The Things Republicans Blame Me For, Getting Blamed For Rise Of Donald Trump Is Novel", REAL
"The Story of How the DOJ Tried to Thwart an FBI Investigation Into the Clinton Foundation", FAKE
"Surveillance Reforms Allow NSA Greater Access Than Ever to Phone Data", FAKE
"How Much Trouble Is Hillary Clinton In?", REAL
"IRONY ALERT: First Person Arrested For Voter Fraud Is A Trump Supporter", FAKE
"Will Latino loathing of Trump drive a voter movement to swing the election?", REAL
"Podesta Brothers Kidnapped a 3yo British Girl in Portugal - Wikileaks", FAKE
"Michael Moore Visits WikiLeaks’ Julian Assange [Video]", FAKE
"How Clinton's Email Controversy Is Affecting Her Campaign", REAL
"Fear is making the GOP’s job easier", REAL
"Orlando Attack Just Added More Fuel to Divisive Politics", REAL
"REASONS TO BELIEVE JULIAN ASSANGE IS IN CIA CUSTODY….", FAKE
"Comment on Boy says farewell to best friend, 91-year-old World War II vet from next door by Joe", FAKE
"Die Hard 3 Predicts Hillary Clinton To be President", FAKE
"U.S. LAWMAKERS RAISE PRIVACY CONCERNS OVER NEW HACKING RULES", FAKE
"White House: 'Higher profile' person should have gone to Paris", REAL
"The Libertarian Moment Is So Over That Libertarians Are Now The Single Largest Group: Gallup", REAL
"The Next 10 Years Will Be Ugly for Your 401(k)", FAKE
"The Murder Shaking San Francisco’s Liberal Soul", REAL
"Upcoming proposal in Congress for military action must strike Goldilocks-esq, 'just right' tone", REAL
"Airstrikes Move To Syria, Target More Than Just ISIS", REAL
"Islamic State claims responsibility for the Brussels attacks", REAL
"Comment on Why We’re All Deficient In Magnesium, The Many Signs & What To Do by Ain’t No Sunshine: Seasonal SADness and Magnesium | Activation Health", FAKE
"India's Stonehenge: 7,000-Year-Old Megalithic Site is Oldest Observatory in South Asia", FAKE
"Need to Burn Fat? Eat Dinner Early or Skip It to Help Weight Loss", FAKE
"The India-Russia Alliance Isn't Going Anywhere Because It's Underpinned by Values as Well as Interests - Nabarun Roy", FAKE
"State Department says it can't find emails from Clinton IT specialist", REAL
"Genetically Modified Crops in U.S. Fail to Deliver Expected Yields", FAKE
"Debate fact-check: Hillary Clinton and Donald Trump's claims reviewed", REAL
"Watch: Obama criticizes Kenya's president on gay rights as they stand right by each other", REAL
"Re: Don’t worry about Hillary: BuzzFeed confirms she remained totally super awesome while under siege", FAKE
"Jeb Bush in 2016: The good, the bad and the ugly", REAL
"Hoping for the best and preparing for the worst: A look inside the American Redoubt movement", FAKE
"Education Secretary Arne Duncan stepping down", REAL
"The ultimate triumph: President Trump", REAL
"Can the great nuclear war be prevented ?", FAKE
"FOX News Poll: Trump gains, Carson slips, Cruz and Rubio climb in GOP race", REAL
"Comment on Trump’s Walk of Fame Star Vandalized by MeThePeople", FAKE
"Donald Trump is blatantly racist — and the media is too scared to call him out on it", REAL
"To grow the economy, grow small businesses: Bloomberg & Buffett", REAL
"Black Americans Going For Donald Trump In Record Numbers As Election Day Approaches", FAKE
"Will Clinton’s experience be a liability?", REAL
"Comment on Donald Trump Tells Veterans He’s ‘Financially Brave’ by Debbie Menon", FAKE
"US-led coalition killed 300 Syrian civilians in 11 probed strikes – Amnesty", FAKE
"Is This Trump’s Biggest Financial Con Yet?", REAL
"Congress clears $1.8 trillion tax and spending bills", REAL
"EndingFed News Network | Syndicated news and opinion website providing continuously updated headlines to top news and analysis sources.", FAKE
"The real reasons Iran is so committed to its nuclear program", REAL
"Lights, Camera, Propaganda! Washington's Anti-Russia Campaign Invades Hollywood - Danielle Ryan", FAKE
"Donald Trump’s Nightmare Comes True 10 Days Before Election – This Could Ruin EVERYTHING!", FAKE
"How Ted Cruz Became Ted Cruz", REAL
"This Collage of Corrut Presstitutes Making Fools of Themselves Is a Keeper", FAKE
"Even Hillary’s Niece Is Voting Trump", FAKE
"Alien Visitors? No Explanation for Mysterious Lights in Night Sky Over Arizona", FAKE
"Globalist Plan for Human Control", FAKE
"Poll: Trump Reaches 50 Percent Support Nationally for the First Time", REAL
"Obama Plans to Press Ahead With Guantanamo Bay Closure", REAL
"Jesse Matthew charged in Hannah Graham's murder, DA will not pursue death penalty", REAL
"Several Republican players moving quickly to signal intent to run in 2016", REAL
"Re: Former Congressman Joe Walsh: “If Trump Loses, I’m Grabbing My Musket”", FAKE
"Donald Trump could 'shoot somebody and not lose voters'", REAL
"Trump protests intensify, as doubts swirl about spontaneity", REAL
"Dana Perino: Conservatives, here are 5 reasons why we should accept Facebook's olive branch", REAL
"Iraq launches operation against ISIS in Anbar province", REAL
"What Is Operation Bluebeam? Will It Derail the Election?", FAKE
"Valentin Katasonov: America is in agony and Trump is the doctor", FAKE
"Obama to Supreme Court: You wouldn’t dare kill Obamacare", REAL
"Three Quarters Of Americans Oppose Gun Control", FAKE
"Clinton's super PAC fundraising irks progressives", REAL
"Is Obama preparing a parting shot on Israel? This President must not bind the next", FAKE
"How the internet is making even Ukrainian Nazis into Russians...", FAKE
"IOWA FARMER CLAIMS BILL CLINTON HAD SEX WITH COW DURING ‘COCAINE PARTY’", FAKE
"A brutal spoof advert for the new Macbook that highlights everything it doesn’t have", FAKE
"Space Wars Likely In The Future As US, Russia Develop Satellite Weapons", FAKE
"Hillary Clinton Can’t Run for President", REAL
"Wake up, America. Our country is upside down", REAL
"Why Team Clinton's not sweating Trump", REAL
"The Oregon militia standoff, explained", REAL
"California Airport Security Tightened Amid ISIS Fears", REAL
"Nation Elects First Black-Hearted President - The Onion - America's Finest News Source", FAKE
"Obama Looking For Justice Who Will 'Interpret' The Law, Not 'Make' It", REAL
"Project Veritas: Money from Belize | Opinion - Conservative", FAKE
"Wolf Richter: Done in by Overcapacity, Stagnant World Trade, and China, Korean Shipbuilders Collapse on Top of Taxpayers", FAKE
"How mega-donors helped raise $1 billion for Hillary Clinton", REAL
"The Failure of US Democracy", FAKE
"It’s not the ‘locker-room’ talk. It’s the ‘lock her up’ talk.", REAL
"Comment on Nomi Prins: Hillary Clinton Will Continue the Big Bank Protection Racket by EndOfTheWorld", FAKE
"Leftists Claim Dress Code Promotes “Rape Culture”", FAKE
"Trump, and what he might say next, is burning up GOPs political capital in Washington", REAL
"Clinton renews vow to 'fast track' immigration, Trump camp accuses candidate of acting like a 'king'", REAL
"GOP Delegate: Trump Primary Wins 'Absolutely Irrelevant' At Convention", REAL
"Bernie Sanders Blames Closed Primaries As Path To The Nomination Narrows", REAL
"Why Russia’s army can’t complete its modernization program", FAKE
"Backers: Romney more open to 2016", REAL
"Trump Campaign Bombs in Virginia, Again", REAL
"Hoax Tweet leads to street riots", FAKE
"Political world's eyes on New Hampshire", REAL
"US-led airstrike kills at least 30 Afghan civilians", FAKE
"Megyn Kelly tears into Ted Cruz over ridiculous debate demands: “Would we have to submit our voting records to you?”", REAL
"Migrant Thug Beats 87-Year-Old To Bloody Pulp For Making 1 Simple Request", FAKE
"Is This What You Think They Would Look Like? Supposed Pictures of Real Extraterrestrials", FAKE
"Obama Administration Smacks Down Enlistment Bonus Repayments After Republican Congress Does Nothing", FAKE
"Sorry, Hillary, but we’re done: Keep repeating racist myths and praising Kissinger and the Reagans. I’m switching to Bernie Sanders", REAL
"‘Anti-Establishment’ Trump Plans to Appoint Goldman Sachs and George Soros Insiders", FAKE
"Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism", FAKE
"Voting Machine Shocker: Video Proof Election Is Rigged!", FAKE
"Olivia Newton John's Daughter Is Vocal About Plastic Surgery Addiction...Here Are the Family Photos She Doesn't Show - Independent Journal Review", FAKE
"US sailors freed by Iranians. No US apology issued, says Joe Biden", REAL
"Trump Elected President, Thanks to 4 in 5 White Evangelicals", FAKE
"The #1 Reason Why People Are Voting for Trump", FAKE
"Clinton Staff Readies EMP Launch To Disable All Nation’s Electronic Devices - The Onion - America's Finest News Source", FAKE
"Anyone from the family who can understand what I speak will be appointed as UP CM: Mulayam Singh", FAKE
"U.S. Election Thread 2016-06", FAKE
"White House hits 'AWOL' Congress for shirking AUMF", REAL
"After Terrorizing America With Zika Scaremongering, MSM Admits Zika Doesn't Cause Brain Deformities", FAKE
"Taliban Militants Attack Afghan Parliament In Kabul", REAL
"HAPPENING: FBI Reopens Case Against Aggro Granny After New Emails Discovered!", FAKE
"Hope and hype of Hiroshima can’t conceal Obama’s dismal record on nuclear disarmament", REAL
"Trump says building a U.S.-Mexico wall is ‘easy.’ But is it really?", REAL
"WORLD WAR 3 – HILLARY V.S. TRUMP", FAKE
"Hillary cancels public appearance due to a large crowd of people chanting Lock Her Up!", FAKE
"Taking Care of Your Eye Health the Natural Way", FAKE
"State Dept. uncovers nearly 18,000 missing emails sought from ex-Clinton spokesman", REAL
"In wake of Paris shooting, Spain worries about terror attacks on its home soil", REAL
"WHAT EVERYDAY LIFE IS REALLY LIKE IN CUBA UNDER RAÚL CASTRO", FAKE
"Comment on WikiLeaks Shocker: Clinton Camp Considering Paul Ryan Relative as Supreme Court Nominee by Richard Johnson", FAKE
"Bill O'Reilly claims false, admits Fox News: Why that won't hurt him at Fox", REAL
"ISIS activity prompts threat level increase at bases", REAL
"Inside Bernie Sanders’s quest to win over Nevada’s Latinos", REAL
"Donald Trump is really going to be the nominee. This is actually happening.", REAL
"Comment on You’re Being Fooled: The Problem With ‘Alternative’ News Websites by Web Credibility | Site Title", FAKE
"Internationally-backed Libyan forces attack Daesh positions in Sirte", FAKE
"Closed primaries, 'warped' democracy?", REAL
"US Officials, FBI See No Link Between Trump and Russia", FAKE
"Is Robert Mugabe on his deathbed? UK planning for transition phase in Zimbabwe", FAKE
"White House, NYT leave Bushes out of lead photos from Selma march", REAL
"Elon Musk to Completely Revolutionize the Energy Industry with New Tesla Solar Roof", FAKE
"In Baltimore's call for federal police probe, a new search for answers (+video)", REAL
"Re: Get Ready For Civil Unrest: Survey Finds That Most Americans Are Concerned About Election Violence", FAKE
"Speaker Paul Ryan: Let's live in the Christmas spirit", REAL
"Obama to focus on future in State of the Union speech", REAL
"Parts Of Patriot Act Expire, Even As Senate Moves On Bill Limiting Surveillance", REAL
"5 facts about consistent conservatives", REAL
"Bernie Sanders Got Republicans To Make His Argument For Universal Health Care", REAL
"Terror Tots: We Must Prepare for the Child-Fighters of ISIS", FAKE
"Obamacare architect: ‘The law is working as designed,’ just needs ‘a larger mandate penalty’", FAKE
"One Week, and Counting: Bottom-Fishing in America", FAKE
"Ben Carson’s harsh spotlight: An unfit candidate struggles under intense scrutiny", REAL
"Obamacare's 'Low Expectations' for Enrollment Spells Trouble for Obama", REAL
"The case for a Clinton-Warren ticket", REAL
"University of Missouri protests: 'Just a beginning'", REAL
"How Tim Scott chose to endorse Marco Rubio for president", REAL
"Fighting Ghost Fascists While Aiding Real Ones", FAKE
"There’s a good reason protesters at the University of Missouri didn’t want the media around", REAL
"Is Your VACCINATED Child a ‘Haz Mat’?", FAKE
"Comment on Armed Militias Prepping for Violence if Clinton Wins in “Stolen Election” by Joel W", FAKE
"Donald Trump triumphs in Michigan and Mississippi. Onward, reality show junkies", REAL
"Election Night Drama: Hillary overheard giving spouse a tongue lashing!", FAKE
"Only Demented Imbeciles Want A Killary Reign Of Terror", FAKE
"Desperate Obama RIPS Comey: 'We Don't Operate On Innuendo' | Daily Wire", FAKE
"Dr. MacDonald & Dr. Duke Expose the Vicious War on Trump by the Jewish Establishment!", FAKE
"Europe or Russia: Could Moldova's presidential election determine its future?", FAKE
"Fuming over Ryan, some conservative voices turn on the Freedom Caucus", REAL
"Senate panel votes Tuesday on Iran bill that gives Congress say on nuclear deal", REAL
"State Department will not release 22 'top secret' Clinton emails", REAL
"Why We Wait For The Future", FAKE
"South Carolina primary brings high stakes for Marco Rubio and Jeb Bush", REAL
"Cannabis Protects The Brain From Traumatic Injuries And Concussions, Study Finds", FAKE
"What Are The Bulges Under Your Green Pantsuit, Hillary?", FAKE
"Brexiters set up demented ‘people’s courts’", FAKE
"Trump accuses Obama, Hillary Clinton of founding Daesh", FAKE
"Doesn’t Matter WHO Hacked Podesta, If Emails are TRUE", FAKE
"Contests in South Carolina, Nevada to test the appeal of the outsiders", REAL
"Russia to test new anti-tank guided missiles in Syria", FAKE
"The Problems With Facebook’s Polarization Study", REAL
"Millions of South Koreans Rise Up Against Shadow Government", FAKE
"Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap", FAKE
"Town in Wisconsin Passes Law That Fines Parents of Bullies", FAKE
"Learning Horrors of War from Vets", FAKE
"Trump suggests 'profiling' of Muslims as response to terrorism", REAL
"Time Is Running Out for Bernie Sanders", REAL
"Merkel: Worried about Islamisation? Just Sing Christmas Carols", FAKE
"FBI’s brazen terrorism lie: What the Boston Marathon bombing trial reveals about America’s deluded terror narrative", REAL
"American Dream, Revisited", FAKE
"BLACK VETERANS FOR TRUMP, too!", FAKE
"Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters", FAKE
"Republicans in state governments plan juggernaut of conservative legislation", REAL
"Women won't earn the same as men for another two centuries - report", FAKE
"Former DEA Prescription Head Drops a BombShell — Congress Protects Big Pharma & Fuels Opioid Crisis", FAKE
"Webb rips Clinton's State record as he mulls independent White House bid", REAL
"Obama calls for end to nuclear weapons, but U.S. disarmament is slowest since 1980", REAL
"The Militarized Police at Standing Rock is Working for This Man", FAKE
"Urban Population Booms Will Make Climate Change Worse", FAKE
"Stossel: Why Marco Rubio and Hillary Clinton are 2016's likely nominees", REAL
"Re: Did America Really Pass The Test? – Hillary Clinton Is Going To Win The Popular Vote By A Wide Margin", FAKE
"Joe Biden: He's right not to run (Opinion)", REAL
"Police threaten eviction 'at any time' as Dakota Access protesters refuse to leave private land", FAKE
"EXCLUSIVE: Kentucky Clerk: 'This is a fight worth fighting'", REAL
"Prison employee pleaded not guilty to aiding escape of two murderers", REAL
"Save the Children Norway trialed anti-malaria drug Larium in Mozambique—1993–1994", FAKE
"Ben Carson Throws Support Behind Donald Trump", REAL
"TOP DOCTORS: CHEMOTHERAPY ONE OF DOZENS OF PROCEDURES SHOWN TO ‘GIVE NO BENEFIT’", FAKE
"How public funding of elections makes politics even more polarized", REAL
"Someone left a funny note asking the postman to move a spider", FAKE
"GOP 2016: Is it time for Jeb Bush to pack up his attack ads and go home?", REAL
"Tics and tricks: Here's what Trump and Clinton's body language reveals", REAL
"Blame Government, Not Markets for Monopoly", FAKE
"'America Has Lost' in the Philippines as Duterte Calls for Alliance with Russia and China - Pepe Escobar", FAKE
"We’re Finally Opening A T-Shirt Shop For ROK Gear", FAKE
"A very accurate pisstake of craft beer culture", FAKE
"Clinton, Democrats try not to get drowned out during GOP convention", REAL
"Load of manure dumped at Democratic headquarters", FAKE
"TRUMPED: After Deceiving The American People, The New York Times Vows To Start ‘Reporting Honestly’", FAKE
"Tom Hanks Raps", FAKE
"What happens if Clinton drops out?", REAL
"America’s Senator Jeff Sessions Warns of Worsening Pre-Election Border Anarchy", FAKE
"The Fantasy of a Better Iran Deal", REAL
"Badass Patriot Has MASSIVE Surprise For Thieves Who Stole His Trump Sign", FAKE
"Most Popular Halloween Costumes Of 2016 - The Onion - America's Finest News Source", FAKE
"Donald Trump’s “days of rage”: As the GOP primary reaches its tipping point, Trump prepares for all-out war", REAL
"What do Americans really think about abortion? The answer may surprise you.", REAL
